Word; Meaning; Example; Image; Sound; SoundMeaning; SoundExample; PartOfSpeach; Number; Amount; 
attitude; a settled way of thinking; He has a positive attitude.; attitude-n.jpg; attitude-n.mp3; attitude-n-meaning.mp3; attitude-n-example.mp3; noun; 938; 10758; 
yourself; used to refer to the person addressed; Take care of yourself.; yourself-pron.jpg; yourself-pron.mp3; yourself-pron-meaning.mp3; yourself-pron-example.mp3; pronoun; 939; 10746; 
disease; a disorder of structure or function; The disease spread quickly.; disease-n.jpg; disease-n.mp3; disease-n-meaning.mp3; disease-n-example.mp3; noun; 940; 10736; 
exactly; in exact terms; That's exactly what I meant.; exactly-adv.jpg; exactly-adv.mp3; exactly-adv-meaning.mp3; exactly-adv-example.mp3; adverb; 941; 10729; 
above; at a higher level; The birds flew above.; above-adv.jpg; above-adv.mp3; above-adv-meaning.mp3; above-adv-example.mp3; adverb; 942; 10719; 
commission; an instruction or duty; He received a new commission.; commission-n.jpg; commission-n.mp3; commission-n-meaning.mp3; commission-n-example.mp3; noun; 943; 10712; 
intend; have as a plan; I intend to travel soon.; intend-v.jpg; intend-v.mp3; intend-v-meaning.mp3; intend-v-example.mp3; verb; 944; 10708; 
beyond; at or to the further side; The road continues beyond.; beyond-prep.jpg; beyond-prep.mp3; beyond-prep-meaning.mp3; beyond-prep-example.mp3; preposition; 945; 10705; 
seat; a thing made for sitting on; Please take a seat.; seat-n.jpg; seat-n.mp3; seat-n-meaning.mp3; seat-n-example.mp3; noun; 946; 10691; 
president; the elected head of a republic; The president gave a speech.; president-n.jpg; president-n.mp3; president-n-meaning.mp3; president-n-example.mp3; noun; 947; 10678; 
encourage; give support or confidence; Encourage your teammates.; encourage-v.jpg; encourage-v.mp3; encourage-v-meaning.mp3; encourage-v-example.mp3; verb; 948; 10664; 
addition; the action of adding something; The addition improved the recipe.; addition-n.jpg; addition-n.mp3; addition-n-meaning.mp3; addition-n-example.mp3; noun; 949; 10664; 
goal; the object of a person's ambition; His goal is to graduate.; goal-n.jpg; goal-n.mp3; goal-n-meaning.mp3; goal-n-example.mp3; noun; 950; 10655; 
round; shaped like a circle; The table is round.; round-prep.jpg; round-prep.mp3; round-prep-meaning.mp3; round-prep-example.mp3; preposition; 951; 10635; 
miss; fail to hit or reach; Don't miss the opportunity.; miss-v.jpg; miss-v.mp3; miss-v-meaning.mp3; miss-v-example.mp3; verb; 952; 10627; 
popular; liked by many people; She is a popular singer.; popular-a.jpg; popular-a.mp3; popular-a-meaning.mp3; popular-a-example.mp3; adjective; 953; 10600; 
affair; an event or sequence of events; The party was a grand affair.; affair-n.jpg; affair-n.mp3; affair-n-meaning.mp3; affair-n-example.mp3; noun; 954; 10561; 
technique; a way of carrying out a task; Learn proper technique.; technique-n.jpg; technique-n.mp3; technique-n-meaning.mp3; technique-n-example.mp3; noun; 955; 10548; 
respect; a feeling of deep admiration; Show respect to elders.; respect-n.jpg; respect-n.mp3; respect-n-meaning.mp3; respect-n-example.mp3; noun; 956; 10540; 
drop; let or make something fall; Don't drop the glass.; drop-v.jpg; drop-v.mp3; drop-v-meaning.mp3; drop-v-example.mp3; verb; 957; 10537; 
professional; relating to a profession; She has a professional attitude.; professional-a.jpg; professional-a.mp3; professional-a-meaning.mp3; professional-a-example.mp3; adjective; 958; 10527; 
less; a smaller amount; Eat less sugar.; less-det.jpg; less-det.mp3; less-det-meaning.mp3; less-det-example.mp3; determiner; 959; 10522; 
once; on one occasion; I visited Paris once.; once-conj.jpg; once-conj.mp3; once-conj-meaning.mp3; once-conj-example.mp3; conjunction; 960; 10511; 
item; an individual article; Add this item to the list.; item-n.jpg; item-n.mp3; item-n-meaning.mp3; item-n-example.mp3; noun; 961; 10503; 
fly; move through the air; Birds fly south in winter.; fly-v.jpg; fly-v.mp3; fly-v-meaning.mp3; fly-v-example.mp3; verb; 962; 10483; 
reveal; make known to others; He revealed the secret.; reveal-v.jpg; reveal-v.mp3; reveal-v-meaning.mp3; reveal-v-example.mp3; verb; 963; 10482; 
version; a particular form of something; This is the latest version.; version-n.jpg; version-n.mp3; version-n-meaning.mp3; version-n-example.mp3; noun; 964; 10481; 
maybe; perhaps; Maybe we'll go tomorrow.; maybe-adv.jpg; maybe-adv.mp3; maybe-adv-meaning.mp3; maybe-adv-example.mp3; adverb; 965; 10472; 
ability; possession of means or skill; She has great ability.; ability-n.jpg; ability-n.mp3; ability-n-meaning.mp3; ability-n-example.mp3; noun; 966; 10468; 
operate; function or work; The machine operates quietly.; operate-v.jpg; operate-v.mp3; operate-v-meaning.mp3; operate-v-example.mp3; verb; 967; 10462; 
good; that which is morally right; Do good whenever possible.; good-n.jpg; good-n.mp3; good-n-meaning.mp3; good-n-example.mp3; noun; 968; 10451; 
campaign; an organized course of action; The campaign was successful.; campaign-n.jpg; campaign-n.mp3; campaign-n-meaning.mp3; campaign-n-example.mp3; noun; 969; 10441; 
heavy; of great weight; The box is too heavy.; heavy-a.jpg; heavy-a.mp3; heavy-a-meaning.mp3; heavy-a-example.mp3; adjective; 970; 10439; 
advice; guidance or recommendations; She gave me good advice.; advice-n.jpg; advice-n.mp3; advice-n-meaning.mp3; advice-n-example.mp3; noun; 971; 10437; 
institution; an established organization; The institution was founded in 1900.; institution-n.jpg; institution-n.mp3; institution-n-meaning.mp3; institution-n-example.mp3; noun; 972; 10399; 
top; of the highest quality; She is a top student.; top-a.jpg; top-a.mp3; top-a-meaning.mp3; top-a-example.mp3; adjective; 973; 10398; 
discover; find unexpectedly; They discovered a new species.; discover-v.jpg; discover-v.mp3; discover-v-meaning.mp3; discover-v-example.mp3; verb; 974; 10366; 
surface; the outside part of something; The surface was smooth.; surface-n.jpg; surface-n.mp3; surface-n-meaning.mp3; surface-n-example.mp3; noun; 975; 10361; 
library; a collection of books; The library has many resources.; library-n.jpg; library-n.mp3; library-n-meaning.mp3; library-n-example.mp3; noun; 976; 10356; 
pupil; a student in school; The pupils listened carefully.; pupil-n.jpg; pupil-n.mp3; pupil-n-meaning.mp3; pupil-n-example.mp3; noun; 977; 10320; 
record; set down in writing; Record your observations.; record-v.jpg; record-v.mp3; record-v-meaning.mp3; record-v-example.mp3; verb; 978; 10315; 
refuse; indicate unwillingness; He refused to answer.; refuse-v.jpg; refuse-v.mp3; refuse-v-meaning.mp3; refuse-v-example.mp3; verb; 979; 10312; 
prevent; keep from happening; Vaccines prevent diseases.; prevent-v.jpg; prevent-v.mp3; prevent-v-meaning.mp3; prevent-v-example.mp3; verb; 980; 10286; 
advantage; a favorable condition; Height is an advantage in basketball.; advantage-n.jpg; advantage-n.mp3; advantage-n-meaning.mp3; advantage-n-example.mp3; noun; 981; 10285; 
dark; with little or no light; It's dark outside.; dark-a.jpg; dark-a.mp3; dark-a-meaning.mp3; dark-a-example.mp3; adjective; 982; 10264; 
teach; impart knowledge; She teaches mathematics.; teach-v.jpg; teach-v.mp3; teach-v-meaning.mp3; teach-v-example.mp3; verb; 983; 10248; 
memory; the faculty of remembering; He has a sharp memory.; memory-n.jpg; memory-n.mp3; memory-n-meaning.mp3; memory-n-example.mp3; noun; 984; 10221; 
culture; the arts and customs of a society; Greek culture is ancient.; culture-n.jpg; culture-n.mp3; culture-n-meaning.mp3; culture-n-example.mp3; noun; 985; 10196; 
blood; the red liquid in bodies; Blood carries oxygen.; blood-n.jpg; blood-n.mp3; blood-n-meaning.mp3; blood-n-example.mp3; noun; 986; 10176; 
cost; require payment; The shoes cost $50.; cost-v.jpg; cost-v.mp3; cost-v-meaning.mp3; cost-v-example.mp3; verb; 987; 10167; 
majority; the greater number; The majority voted yes.; majority-n.jpg; majority-n.mp3; majority-n-meaning.mp3; majority-n-example.mp3; noun; 988; 10146; 
answer; say or write in reply; Answer the question.; answer-v.jpg; answer-v.mp3; answer-v-meaning.mp3; answer-v-example.mp3; verb; 989; 10140; 
variety; the quality of being diverse; The store offers variety.; variety-n.jpg; variety-n.mp3; variety-n-meaning.mp3; variety-n-example.mp3; noun; 990; 10138; 
press; news media and journalists; The press covered the event.; press-n.jpg; press-n.mp3; press-n-meaning.mp3; press-n-example.mp3; noun; 991; 10129; 
depend; be controlled or determined by; Success depends on effort.; depend-v.jpg; depend-v.mp3; depend-v-meaning.mp3; depend-v-example.mp3; verb; 992; 10125; 
bill; a statement of money owed; Pay the electricity bill.; bill-n.jpg; bill-n.mp3; bill-n-meaning.mp3; bill-n-example.mp3; noun; 993; 10125; 
competition; the act of competing; The competition was fierce.; competition-n.jpg; competition-n.mp3; competition-n-meaning.mp3; competition-n-example.mp3; noun; 994; 10119; 
ready; prepared for action; Are you ready to go?; ready-a.jpg; ready-a.mp3; ready-a-meaning.mp3; ready-a-example.mp3; adjective; 995; 10110; 
general; a high-ranking military officer; The general led the troops.; general-n.jpg; general-n.mp3; general-n-meaning.mp3; general-n-example.mp3; noun; 996; 10101; 
access; the means to approach something; The file has restricted access.; access-n.jpg; access-n.mp3; access-n-meaning.mp3; access-n-example.mp3; noun; 997; 10099; 
hit; bring into collision; He hit the ball hard.; hit-v.jpg; hit-v.mp3; hit-v-meaning.mp3; hit-v-example.mp3; verb; 998; 10098; 
stone; hard solid nonmetallic mineral; The path is made of stone.; stone-n.jpg; stone-n.mp3; stone-n-meaning.mp3; stone-n-example.mp3; noun; 999; 10076; 
useful; able to be used advantageously; This tool is very useful.; useful-a.jpg; useful-a.mp3; useful-a-meaning.mp3; useful-a-example.mp3; adjective; 1000; 10071; 
extent; the area covered by something; The extent of the damage is unknown.; extent-n.jpg; extent-n.mp3; extent-n-meaning.mp3; extent-n-example.mp3; noun; 1001; 10071; 
employment; the state of having paid work; Employment rates are rising.; employment-n.jpg; employment-n.mp3; employment-n-meaning.mp3; employment-n-example.mp3; noun; 1002; 10067; 
regard; consider or think of; She is highly regarded.; regard-v.jpg; regard-v.mp3; regard-v-meaning.mp3; regard-v-example.mp3; verb; 1003; 10066; 
apart; separated by distance; The cities are far apart.; apart-adv.jpg; apart-adv.mp3; apart-adv-meaning.mp3; apart-adv-example.mp3; adverb; 1004; 10040; 
present; the period of time now occurring; Live in the present.; present-n.jpg; present-n.mp3; present-n-meaning.mp3; present-n-example.mp3; noun; 1005; 10023; 
appeal; make a serious request; He appealed for help.; appeal-n.jpg; appeal-n.mp3; appeal-n-meaning.mp3; appeal-n-example.mp3; noun; 1006; 10020; 
text; a book or written work; Read the text carefully.; text-n.jpg; text-n.mp3; text-n-meaning.mp3; text-n-example.mp3; noun; 1007; 10014; 
parliament; a legislative body; The parliament passed the law.; parliament-n.jpg; parliament-n.mp3; parliament-n-meaning.mp3; parliament-n-example.mp3; noun; 1008; 10010; 
cause; a person or thing that gives rise to an action; The cause of the fire is unknown.; cause-n.jpg; cause-n.mp3; cause-n-meaning.mp3; cause-n-example.mp3; noun; 1009; 10006; 
terms; conditions under which something is done; Read the terms carefully.; terms-n.jpg; terms-n.mp3; terms-n-meaning.mp3; terms-n-example.mp3; noun; 1010; 9993; 
bar; a place where alcohol is served; They met at the bar.; bar-n.jpg; bar-n.mp3; bar-n-meaning.mp3; bar-n-example.mp3; noun; 1011; 9969; 
attack; take aggressive action; The army launched an attack.; attack-n.jpg; attack-n.mp3; attack-n-meaning.mp3; attack-n-example.mp3; noun; 1012; 9963; 
effective; successful in producing a desired result; The treatment is effective.; effective-a.jpg; effective-a.mp3; effective-a-meaning.mp3; effective-a-example.mp3; adjective; 1013; 9951; 
mouth; the opening in the face used for speaking and eating; She opened her mouth to speak.; mouth-n.jpg; mouth-n.mp3; mouth-n-meaning.mp3; mouth-n-example.mp3; noun; 1014; 9930; 
down; toward or in a lower place; Sit down, please.; down-prep.jpg; down-prep.mp3; down-prep-meaning.mp3; down-prep-example.mp3; preposition; 1015; 9928; 
result; a consequence or outcome; The results were surprising.; result-v.jpg; result-v.mp3; result-v-meaning.mp3; result-v-example.mp3; verb; 1016; 9912; 
fish; a limbless cold-blooded vertebrate animal; He caught a big fish.; fish-n.jpg; fish-n.mp3; fish-n-meaning.mp3; fish-n-example.mp3; noun; 1017; 9901; 
future; time that is to come; The future looks bright.; future-a.jpg; future-a.mp3; future-a-meaning.mp3; future-a-example.mp3; adjective; 1018; 9881; 
visit; an act of going to see a place; We enjoyed our visit to Rome.; visit-n.jpg; visit-n.mp3; visit-n-meaning.mp3; visit-n-example.mp3; noun; 1019; 9878; 
little; small in size, amount, or degree; She has a little dog.; little-adv.jpg; little-adv.mp3; little-adv-meaning.mp3; little-adv-example.mp3; adverb; 1020; 9877; 
easily; without difficulty; He solved the puzzle easily.; easily-adv.jpg; easily-adv.mp3; easily-adv-meaning.mp3; easily-adv-example.mp3; adverb; 1021; 9877; 
attempt; make an effort to achieve something; He attempted the challenge.; attempt-v.jpg; attempt-v.mp3; attempt-v-meaning.mp3; attempt-v-example.mp3; verb; 1022; 9873; 
enable; give someone the authority to do something; This tool enables creativity.; enable-v.jpg; enable-v.mp3; enable-v-meaning.mp3; enable-v-example.mp3; verb; 1023; 9858; 
trouble; difficulty or problems; He's in trouble again.; trouble-n.jpg; trouble-n.mp3; trouble-n-meaning.mp3; trouble-n-example.mp3; noun; 1024; 9826; 
traditional; existing in or as part of a tradition; They serve traditional food.; traditional-a.jpg; traditional-a.mp3; traditional-a-meaning.mp3; traditional-a-example.mp3; adjective; 1025; 9819; 
payment; the action of paying; The payment is due today.; payment-n.jpg; payment-n.mp3; payment-n-meaning.mp3; payment-n-example.mp3; noun; 1026; 9811; 
best; of the most excellent kind; She did her best.; best-adv.jpg; best-adv.mp3; best-adv-meaning.mp3; best-adv-example.mp3; adverb; 1027; 9790; 
post; a long, sturdy piece of timber; The fence post was broken.; post-n.jpg; post-n.mp3; post-n-meaning.mp3; post-n-example.mp3; noun; 1028; 9776; 
county; a territorial division; She works for the county.; county-n.jpg; county-n.mp3; county-n-meaning.mp3; county-n-example.mp3; noun; 1029; 9745; 
lady; a polite or formal way to refer to a woman; The lady smiled at me.; lady-n.jpg; lady-n.mp3; lady-n-meaning.mp3; lady-n-example.mp3; noun; 1030; 9739; 
holiday; a day of festivity or recreation; We're going on holiday.; holiday-n.jpg; holiday-n.mp3; holiday-n-meaning.mp3; holiday-n-example.mp3; noun; 1031; 9731; 
realise; become fully aware of something; I realise my mistake now.; realise-v.jpg; realise-v.mp3; realise-v-meaning.mp3; realise-v-example.mp3; verb; 1032; 9726; 
importance; the state of being important; He understands the importance.; importance-n.jpg; importance-n.mp3; importance-n-meaning.mp3; importance-n-example.mp3; noun; 1033; 9718; 
chair; a separate seat for one person; Please take a chair.; chair-n.jpg; chair-n.mp3; chair-n-meaning.mp3; chair-n-example.mp3; noun; 1034; 9718; 
facility; a place for a particular activity; The sports facility is new.; facility-n.jpg; facility-n.mp3; facility-n-meaning.mp3; facility-n-example.mp3; noun; 1035; 9713; 
complete; finish making or doing; Complete the assignment.; complete-v.jpg; complete-v.mp3; complete-v-meaning.mp3; complete-v-example.mp3; verb; 1036; 9711; 
article; a piece of writing in a publication; She wrote an article.; article-n.jpg; article-n.mp3; article-n-meaning.mp3; article-n-example.mp3; noun; 1037; 9710; 
object; a material thing; The object was shiny.; object-n.jpg; object-n.mp3; object-n-meaning.mp3; object-n-example.mp3; noun; 1038; 9697; 
context; the circumstances of an event; Consider the context.; context-n.jpg; context-n.mp3; context-n-meaning.mp3; context-n-example.mp3; noun; 1039; 9687; 
survey; look carefully at something; Survey the damage.; survey-n.jpg; survey-n.mp3; survey-n-meaning.mp3; survey-n-example.mp3; noun; 1040; 9676; 
notice; become aware of; Did you notice the change?; notice-v.jpg; notice-v.mp3; notice-v-meaning.mp3; notice-v-example.mp3; verb; 1041; 9663; 
complete; having all necessary parts; The collection is complete.; complete-a.jpg; complete-a.mp3; complete-a-meaning.mp3; complete-a-example.mp3; adjective; 1042; 9660; 
turn; move in a circular direction; Turn the handle.; turn-n.jpg; turn-n.mp3; turn-n-meaning.mp3; turn-n-example.mp3; noun; 1043; 9656; 
direct; extending or moving in a straight line; Take the direct route.; direct-a.jpg; direct-a.mp3; direct-a-meaning.mp3; direct-a-example.mp3; adjective; 1044; 9653; 
immediately; without any delay; He left immediately.; immediately-adv.jpg; immediately-adv.mp3; immediately-adv-meaning.mp3; immediately-adv-example.mp3; adverb; 1045; 9652; 
collection; a group of items gathered together; The museum has a large collection.; collection-n.jpg; collection-n.mp3; collection-n-meaning.mp3; collection-n-example.mp3; noun; 1046; 9639; 
reference; the action of mentioning something; She made a reference to the book.; reference-n.jpg; reference-n.mp3; reference-n-meaning.mp3; reference-n-example.mp3; noun; 1047; 9638; 
card; a piece of thick paper used for various purposes; He sent a birthday card.; card-n.jpg; card-n.mp3; card-n-meaning.mp3; card-n-example.mp3; noun; 1048; 9632; 
interesting; arousing curiosity or interest; The book is very interesting.; interesting-a.jpg; interesting-a.mp3; interesting-a-meaning.mp3; interesting-a-example.mp3; adjective; 1049; 9624; 
considerable; notably large in size or extent; It took considerable effort.; considerable-a.jpg; considerable-a.mp3; considerable-a-meaning.mp3; considerable-a-example.mp3; adjective; 1050; 9614; 
television; a system for transmitting visual images; We watched television.; television-n.jpg; television-n.mp3; television-n-meaning.mp3; television-n-example.mp3; noun; 1051; 9603; 
extend; cause to cover a larger area; Extend your arms.; extend-v.jpg; extend-v.mp3; extend-v-meaning.mp3; extend-v-example.mp3; verb; 1052; 9592; 
communication; the imparting of information; Good communication is key.; communication-n.jpg; communication-n.mp3; communication-n-meaning.mp3; communication-n-example.mp3; noun; 1053; 9590; 
agency; a business providing a service; She works at a travel agency.; agency-n.jpg; agency-n.mp3; agency-n-meaning.mp3; agency-n-example.mp3; noun; 1054; 9579; 
physical; relating to the body; He has a physical disability.; physical-a.jpg; physical-a.mp3; physical-a-meaning.mp3; physical-a-example.mp3; adjective; 1055; 9569; 
except; not including; Everyone except John came.; except-conj.jpg; except-conj.mp3; except-conj-meaning.mp3; except-conj-example.mp3; conjunction; 1056; 9569; 
check; examine the accuracy of something; Check your answers.; check-v.jpg; check-v.mp3; check-v-meaning.mp3; check-v-example.mp3; verb; 1057; 9566; 
sun; the star around which the earth orbits; The sun is shining.; sun-n.jpg; sun-n.mp3; sun-n-meaning.mp3; sun-n-example.mp3; noun; 1058; 9558; 
species; a group of similar organisms; This species is endangered.; species-n.jpg; species-n.mp3; species-n-meaning.mp3; species-n-example.mp3; noun; 1059; 9555; 
possibility; a thing that may happen; There's a possibility of rain.; possibility-n.jpg; possibility-n.mp3; possibility-n-meaning.mp3; possibility-n-example.mp3; noun; 1060; 9555; 
official; relating to an authority; This is the official report.; official-n.jpg; official-n.mp3; official-n-meaning.mp3; official-n-example.mp3; noun; 1061; 9544; 
chairman; the presiding officer of a meeting; The chairman opened the session.; chairman-n.jpg; chairman-n.mp3; chairman-n-meaning.mp3; chairman-n-example.mp3; noun; 1062; 9503; 
speaker; a person who speaks; The speaker was eloquent.; speaker-n.jpg; speaker-n.mp3; speaker-n-meaning.mp3; speaker-n-example.mp3; noun; 1063; 9456; 
second; a sixtieth of a minute; Wait a second.; second-n.jpg; second-n.mp3; second-n-meaning.mp3; second-n-example.mp3; noun; 1064; 9445; 
career; an occupation undertaken for a significant period; She has a successful career.; career-n.jpg; career-n.mp3; career-n-meaning.mp3; career-n-example.mp3; noun; 1065; 9441; 
laugh; make the sound of amusement; The joke made her laugh.; laugh-v.jpg; laugh-v.mp3; laugh-v-meaning.mp3; laugh-v-example.mp3; verb; 1066; 9436; 
weight; a body's relative mass; He lost some weight.; weight-n.jpg; weight-n.mp3; weight-n-meaning.mp3; weight-n-example.mp3; noun; 1067; 9433; 
sound; vibrations that travel through the air; The sound was loud.; sound-v.jpg; sound-v.mp3; sound-v-meaning.mp3; sound-v-example.mp3; verb; 1068; 9432; 
responsible; having an obligation to do something; You are responsible for this.; responsible-a.jpg; responsible-a.mp3; responsible-a-meaning.mp3; responsible-a-example.mp3; adjective; 1069; 9429; 
base; the lowest part of something; The lamp has a heavy base.; base-n.jpg; base-n.mp3; base-n-meaning.mp3; base-n-example.mp3; noun; 1070; 9410; 
document; a piece of written information; Sign the document.; document-n.jpg; document-n.mp3; document-n-meaning.mp3; document-n-example.mp3; noun; 1071; 9399; 
solution; a means of solving a problem; We need a solution.; solution-n.jpg; solution-n.mp3; solution-n-meaning.mp3; solution-n-example.mp3; noun; 1072; 9348; 
return; come or go back to a place; He will return soon.; return-n.jpg; return-n.mp3; return-n-meaning.mp3; return-n-example.mp3; noun; 1073; 9348; 
medical; relating to medicine; She needs medical attention.; medical-a.jpg; medical-a.mp3; medical-a-meaning.mp3; medical-a-example.mp3; adjective; 1074; 9338; 
hot; having a high temperature; The coffee is too hot.; hot-a.jpg; hot-a.mp3; hot-a-meaning.mp3; hot-a-example.mp3; adjective; 1075; 9331; 
recognise; identify from previous encounters; I recognise that face.; recognise-v.jpg; recognise-v.mp3; recognise-v-meaning.mp3; recognise-v-example.mp3; verb; 1076; 9316; 
talk; speak in order to give information; They talked for hours.; talk-n.jpg; talk-n.mp3; talk-n-meaning.mp3; talk-n-example.mp3; noun; 1077; 9314; 
budget; an estimate of income and expenditure; Stick to your budget.; budget-n.jpg; budget-n.mp3; budget-n-meaning.mp3; budget-n-example.mp3; noun; 1078; 9311; 
river; a large natural stream of water; The river flows south.; river-n.jpg; river-n.mp3; river-n-meaning.mp3; river-n-example.mp3; noun; 1079; 9300; 
fit; of a suitable quality or standard; Is this fit to eat?; fit-v.jpg; fit-v.mp3; fit-v-meaning.mp3; fit-v-example.mp3; verb; 1080; 9286; 
organization; an organized group of people; She joined an organization.; organization-n.jpg; organization-n.mp3; organization-n-meaning.mp3; organization-n-example.mp3; noun; 1081; 9272; 
existing; currently in being; The existing system is flawed.; existing-a.jpg; existing-a.mp3; existing-a-meaning.mp3; existing-a-example.mp3; adjective; 1082; 9270; 
start; begin; Let's start the meeting.; start-n.jpg; start-n.mp3; start-n-meaning.mp3; start-n-example.mp3; noun; 1083; 9268; 
push; exert force on something to move it away; Push the door open.; push-v.jpg; push-v.mp3; push-v-meaning.mp3; push-v-example.mp3; verb; 1084; 9266; 
tomorrow; on the day after today; See you tomorrow.; tomorrow-adv.jpg; tomorrow-adv.mp3; tomorrow-adv-meaning.mp3; tomorrow-adv-example.mp3; adverb; 1085; 9243; 
requirement; a thing that is needed; Meet the requirements.; requirement-n.jpg; requirement-n.mp3; requirement-n-meaning.mp3; requirement-n-example.mp3; noun; 1086; 9234; 
cold; of or at a low temperature; It's cold outside.; cold-a.jpg; cold-a.mp3; cold-a-meaning.mp3; cold-a-example.mp3; adjective; 1087; 9227; 
edge; the outside limit of an object; Be careful near the edge.; edge-n.jpg; edge-n.mp3; edge-n-meaning.mp3; edge-n-example.mp3; noun; 1088; 9225; 
opposition; resistance or dissent; The proposal faced opposition.; opposition-n.jpg; opposition-n.mp3; opposition-n-meaning.mp3; opposition-n-example.mp3; noun; 1089; 9214; 
opinion; a view or judgment; In my opinion, it's wrong.; opinion-n.jpg; opinion-n.mp3; opinion-n-meaning.mp3; opinion-n-example.mp3; noun; 1090; 9213; 
drug; a medicine or illegal substance; The drug was effective.; drug-n.jpg; drug-n.mp3; drug-n-meaning.mp3; drug-n-example.mp3; noun; 1091; 9211; 
quarter; one of four equal parts; A quarter of the class was absent.; quarter-n.jpg; quarter-n.mp3; quarter-n-meaning.mp3; quarter-n-example.mp3; noun; 1092; 9203; 
option; a thing that may be chosen; You have several options.; option-n.jpg; option-n.mp3; option-n-meaning.mp3; option-n-example.mp3; noun; 1093; 9189; 
sign; write one's name on a document; Sign the contract.; sign-v.jpg; sign-v.mp3; sign-v-meaning.mp3; sign-v-example.mp3; verb; 1094; 9188; 
worth; equivalent in value to; It's worth a try.; worth-prep.jpg; worth-prep.mp3; worth-prep-meaning.mp3; worth-prep-example.mp3; preposition; 1095; 9183; 
call; cry out to attract attention; Call for help.; call-n.jpg; call-n.mp3; call-n-meaning.mp3; call-n-example.mp3; noun; 1096; 9182; 
define; state or describe the nature of; Define your terms.; define-v.jpg; define-v.mp3; define-v-meaning.mp3; define-v-example.mp3; verb; 1097; 9178; 
stock; a supply of goods; The store has new stock.; stock-n.jpg; stock-n.mp3; stock-n-meaning.mp3; stock-n-example.mp3; noun; 1098; 9170; 
influence; the capacity to have an effect; She has a lot of influence.; influence-n.jpg; influence-n.mp3; influence-n-meaning.mp3; influence-n-example.mp3; noun; 1099; 9162; 
occasion; a particular event; It's a special occasion.; occasion-n.jpg; occasion-n.mp3; occasion-n-meaning.mp3; occasion-n-example.mp3; noun; 1100; 9152; 
eventually; in the end; He eventually agreed.; eventually-adv.jpg; eventually-adv.mp3; eventually-adv-meaning.mp3; eventually-adv-example.mp3; adverb; 1101; 9138; 
software; programs used by a computer; Update your software.; software-n.jpg; software-n.mp3; software-n-meaning.mp3; software-n-example.mp3; noun; 1102; 9134; 
highly; to a high degree; She is highly skilled.; highly-adv.jpg; highly-adv.mp3; highly-adv-meaning.mp3; highly-adv-example.mp3; adverb; 1103; 9132; 
exchange; an act of giving one thing for another; They made an exchange.; exchange-n.jpg; exchange-n.mp3; exchange-n-meaning.mp3; exchange-n-example.mp3; noun; 1104; 9130; 
lack; be without or deficient in; They lack experience.; lack-n.jpg; lack-n.mp3; lack-n-meaning.mp3; lack-n-example.mp3; noun; 1105; 9126; 
shake; move quickly to and fro; Shake the bottle well.; shake-v.jpg; shake-v.mp3; shake-v-meaning.mp3; shake-v-example.mp3; verb; 1106; 9120; 
study; devote time to learning; He studies every night.; study-v.jpg; study-v.mp3; study-v-meaning.mp3; study-v-example.mp3; verb; 1107; 9100; 
concept; an abstract idea; The concept is simple.; concept-n.jpg; concept-n.mp3; concept-n-meaning.mp3; concept-n-example.mp3; noun; 1108; 9093; 
blue; of a color intermediate between green and violet; She has blue eyes.; blue-a.jpg; blue-a.mp3; blue-a-meaning.mp3; blue-a-example.mp3; adjective; 1109; 9089; 
star; a fixed luminous point in the night sky; The star shone brightly.; star-n.jpg; star-n.mp3; star-n-meaning.mp3; star-n-example.mp3; noun; 1110; 9088; 
radio; the transmission of signals; Listen to the radio.; radio-n.jpg; radio-n.mp3; radio-n-meaning.mp3; radio-n-example.mp3; noun; 1111; 9066; 
no-one; no person; No-one knows the answer.; no-one-pron.jpg; no-one-pron.mp3; no-one-pron-meaning.mp3; no-one-pron-example.mp3; pronoun; 1112; 9064; 
arrangement; the action of arranging; The flower arrangement is beautiful.; arrangement-n.jpg; arrangement-n.mp3; arrangement-n-meaning.mp3; arrangement-n-example.mp3; noun; 1113; 9054; 
examine; inspect closely; The doctor will examine you.; examine-v.jpg; examine-v.mp3; examine-v-meaning.mp3; examine-v-example.mp3; verb; 1114; 9025; 
bird; a warm-blooded egg-laying vertebrate; A bird sang outside.; bird-n.jpg; bird-n.mp3; bird-n-meaning.mp3; bird-n-example.mp3; noun; 1115; 9021; 
green; of the color between blue and yellow; The grass is green.; green-a.jpg; green-a.mp3; green-a-meaning.mp3; green-a-example.mp3; adjective; 1116; 9013; 
band; a flat strip of material; She wore a hair band.; band-n.jpg; band-n.mp3; band-n-meaning.mp3; band-n-example.mp3; noun; 1117; 9003; 
sex; the state of being male or female; The form asks for your sex.; sex-n.jpg; sex-n.mp3; sex-n-meaning.mp3; sex-n-example.mp3; noun; 1118; 9000; 
finger; each of the digits on the hand; He cut his finger.; finger-n.jpg; finger-n.mp3; finger-n-meaning.mp3; finger-n-example.mp3; noun; 1119; 8998; 
past; gone by in time; In past years, things were different.; past-n.jpg; past-n.mp3; past-n-meaning.mp3; past-n-example.mp3; noun; 1120; 8972; 
independent; free from outside control; She is very independent.; independent-a.jpg; independent-a.mp3; independent-a-meaning.mp3; independent-a-example.mp3; adjective; 1121; 8968; 
